map_seed	seat	opponent	baseline_score	baseline_opponent_score	baseline_margin	candidate_score	candidate_opponent_score	candidate_margin	delta	baseline_wood	candidate_wood	baseline_opponent_wood	candidate_opponent_wood	baseline_turn	candidate_turn	baseline_train_turn	candidate_train_turn	baseline_workers	candidate_workers	baseline_period2	candidate_period2	baseline_issues	candidate_issues	baseline_critical	candidate_critical	baseline_unclassified	candidate_unclassified
9854003	1	mybot	332	137	195	303	176	127	-68	82	75	17	25	301	301	10	13	2	2	5	4	150	137	0	0	0	0
9854004	0	resident	108	108	0	104	108	-4	-4	27	26	27	27	174	183	16	1	2	2	3	4	0	0	0	0	0	0
9854004	0	gold_adaptive	144	85	59	140	92	48	-11	36	35	18	19	301	266	16	1	2	2	3	4	21	42	0	0	0	0
9854004	0	compact_gold	191	248	-57	166	320	-154	-97	47	40	60	78	301	301	16	1	2	2	4	4	16	26	0	0	0	0
9854004	0	norx_native_three	160	130	30	142	83	59	29	39	34	2	0	301	301	16	1	2	2	4	6	14	0	0	0	0	0
9854004	0	legend_balanced	186	97	89	155	169	-14	-103	46	37	12	39	301	301	16	1	2	2	3	4	39	121	0	0	0	0
9854004	0	mybot	184	98	86	172	98	74	-12	45	41	20	20	301	301	16	1	2	2	4	4	48	71	0	0	0	0
9854004	1	resident	108	112	-4	112	108	4	8	27	28	28	27	185	196	16	1	2	2	4	0	0	0	0	0	0	0
9854004	1	gold_adaptive	152	79	73	164	161	3	-70	38	41	17	39	267	301	16	1	2	2	3	4	41	85	0	0	0	0
9854004	1	compact_gold	172	248	-76	164	289	-125	-49	43	40	60	70	283	301	16	1	2	2	4	0	29	27	0	0	0	0
9854004	1	norx_native_three	144	138	6	144	81	63	57	36	35	30	0	247	301	16	1	2	2	3	6	84	36	0	0	0	0
9854004	1	legend_balanced	183	95	88	154	159	-5	-93	45	37	1	38	301	301	16	1	2	2	4	0	1	83	0	0	0	0
9854004	1	mybot	183	100	83	158	96	62	-21	45	38	19	17	301	301	16	1	2	2	4	3	44	40	0	0	0	0
9854005	0	resident	168	160	8	168	152	16	8	42	42	40	38	210	205	1	1	2	2	0	10	0	0	0	0	0	0
9854005	0	gold_adaptive	208	32	176	196	50	146	-30	52	49	4	11	298	273	1	1	2	2	12	3	41	158	0	0	0	0
9854005	0	compact_gold	208	187	21	231	294	-63	-84	52	56	43	70	263	301	1	1	2	2	4	37	41	32	0	0	0	0
9854005	0	norx_native_three	327	160	167	199	114	85	-82	80	48	4	3	301	301	1	1	2	2	28	35	23	50	0	0	0	0
9854005	0	legend_balanced	250	149	101	266	127	139	38	61	65	0	0	301	301	1	1	2	2	36	39	1	3	0	0	0	0
9854005	0	mybot	240	171	69	196	156	40	-29	60	49	38	36	293	295	1	1	2	2	4	3	48	12	0	0	0	0
9854005	1	resident	152	156	-4	164	172	-8	-4	38	41	39	43	199	211	1	1	2	2	9	4	0	0	0	0	0	0
9854005	1	gold_adaptive	208	40	168	180	62	118	-50	52	45	6	13	283	234	1	1	2	2	4	4	9	90	0	0	0	0
9854005	1	compact_gold	234	301	-67	231	276	-45	22	58	56	72	66	301	301	1	1	2	2	4	36	37	41	0	0	0	0
9854005	1	norx_native_three	230	94	136	185	102	83	-53	56	45	0	1	301	301	1	1	2	2	38	54	15	39	0	0	0	0
9854005	1	legend_balanced	262	70	192	272	93	179	-13	64	67	0	6	301	301	1	1	2	2	6	5	48	47	0	0	0	0
9854005	1	mybot	216	195	21	216	207	9	-12	54	54	40	44	301	301	1	1	2	2	80	82	20	19	0	0	0	0
9854006	0	resident	148	136	12	148	140	8	-4	37	37	34	35	188	210	10	10	2	2	8	3	0	0	0	0	0	0
9854006	0	gold_adaptive	148	70	78	156	64	92	14	37	39	15	13	228	247	10	10	2	2	5	3	59	41	0	0	0	0
9854006	0	compact_gold	140	121	19	152	97	55	36	35	38	10	6	279	258	10	10	2	2	40	6	105	34	0	0	0	0
9854006	0	norx_native_three	192	28	164	184	55	129	-35	47	45	0	1	301	301	10	10	2	2	8	3	123	22	0	0	0	0
9854006	0	legend_balanced	231	109	122	258	89	169	47	57	64	0	20	301	301	10	10	2	2	4	6	10	68	0	0	0	0
9854006	0	mybot	241	113	128	192	105	87	-41	60	47	22	21	301	301	10	10	2	2	5	7	59	68	0	0	0	0
9854006	1	resident	136	148	-12	104	140	-36	-24	34	26	37	35	188	206	10	10	2	2	0	80	0	0	0	0	0	0
9854006	1	gold_adaptive	152	66	86	148	73	75	-11	38	37	14	16	301	237	10	10	2	2	4	14	27	40	0	0	0	0
9854006	1	compact_gold	148	136	12	140	190	-50	-62	37	35	14	46	272	301	10	10	2	2	36	104	79	15	0	0	0	0
9854006	1	norx_native_three	198	42	156	165	107	58	-98	48	41	3	1	301	301	10	10	2	2	3	4	0	56	0	0	0	0
9854006	1	legend_balanced	234	116	118	248	69	179	61	58	61	0	5	301	301	10	10	2	2	8	4	10	33	0	0	0	0
9854006	1	mybot	245	113	132	202	97	105	-27	61	50	23	20	301	301	10	10	2	2	5	4	82	66	0	0	0	0
9854007	0	resident	160	160	0	184	192	-8	-8	40	46	40	48	191	222	10	10	2	2	0	0	0	0	0	0	0	0
9854007	0	gold_adaptive	260	97	163	256	89	167	4	65	64	21	19	293	292	10	10	2	2	3	0	63	46	0	0	0	0
9854007	0	compact_gold	294	240	54	289	226	63	9	72	72	57	53	300	301	10	10	2	2	3	0	22	25	0	0	0	0
9854007	0	norx_native_three	261	162	99	268	151	117	18	64	65	0	1	301	301	10	10	2	2	7	0	99	78	0	0	0	0
9854007	0	legend_balanced	335	108	227	333	104	229	2	82	82	12	10	301	301	10	10	2	2	3	3	39	36	0	0	0	0
9854007	0	mybot	248	185	63	228	176	52	-11	61	57	36	38	301	297	10	10	2	2	4	5	44	49	0	0	0	0
9854007	1	resident	160	160	0	184	192	-8	-8	40	46	40	48	191	222	10	10	2	2	0	0	0	0	0	0	0	0
9854007	1	gold_adaptive	216	96	120	264	108	156	36	54	66	21	24	273	287	10	10	2	2	0	3	55	55	0	0	0	0
9854007	1	compact_gold	289	312	-23	252	264	-12	11	71	62	75	63	301	301	10	10	2	2	0	3	30	34	0	0	0	0
9854007	1	norx_native_three	270	134	136	265	180	85	-51	66	65	3	5	301	301	10	10	2	2	9	3	29	23	0	0	0	0
9854007	1	legend_balanced	289	105	184	273	126	147	-37	71	67	14	16	301	301	10	10	2	2	3	4	40	38	0	0	0	0
9854007	1	mybot	258	183	75	252	213	39	-36	64	63	40	46	300	301	10	10	2	2	3	4	33	12	0	0	0	0
#latency	baseline	26431	449902	5687055
#latency	candidate	26370	364928	1258764
