TRACE	9865021	1	0	1	["MOVE 1 7 2"]	["MSG yamo-carry-regen-transit-idle-harvest-rust", "MOVE 0 8 5"]	[(1, (8, 2), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[(0, (7, 5), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[4, 10, 5, 6, 10, 0]	[4, 10, 5, 6, 10, 0]	[25, 25]	16	[("PLUM", (8, 5), 12, 2), ("PLUM", (7, 2), 12, 2), ("PLUM", (13, 0), 10, 0), ("PLUM", (2, 7), 10, 0), ("PLUM", (9, 7), 6, 0), ("PLUM", (6, 0), 6, 0), ("LEMON", (10, 0), 12, 0), ("LEMON", (5, 7), 12, 0), ("LEMON", (7, 4), 12, 1), ("LEMON", (8, 3), 12, 1), ("APPLE", (14, 6), 14, 0), ("APPLE", (1, 1), 14, 0), ("BANANA", (0, 4), 6, 1), ("BANANA", (15, 3), 6, 1), ("BANANA", (14, 4), 6, 1), ("BANANA", (1, 3), 6, 1)]
TRACE	9865021	1	0	2	["HARVEST 1"]	["HARVEST 0"]	[(1, (7, 2), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[(0, (8, 5), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[4, 10, 5, 6, 10, 0]	[4, 10, 5, 6, 10, 0]	[25, 25]	16	[("PLUM", (8, 5), 12, 2), ("PLUM", (7, 2), 12, 2), ("PLUM", (13, 0), 10, 0), ("PLUM", (2, 7), 10, 0), ("PLUM", (9, 7), 6, 0), ("PLUM", (6, 0), 6, 0), ("LEMON", (10, 0), 12, 1), ("LEMON", (5, 7), 12, 1), ("LEMON", (7, 4), 12, 2), ("LEMON", (8, 3), 12, 2), ("APPLE", (14, 6), 14, 0), ("APPLE", (1, 1), 14, 0), ("BANANA", (0, 4), 6, 1), ("BANANA", (15, 3), 6, 1), ("BANANA", (14, 4), 6, 1), ("BANANA", (1, 3), 6, 1)]
TRACE	9865021	1	0	3	["DROP 1"]	["DROP 0"]	[(1, (7, 2), 1, 1, 1, 1, [1, 0, 0, 0, 0, 0])]	[(0, (8, 5), 1, 1, 1, 1, [1, 0, 0, 0, 0, 0])]	[4, 10, 5, 6, 10, 0]	[4, 10, 5, 6, 10, 0]	[25, 25]	16	[("PLUM", (8, 5), 12, 1), ("PLUM", (7, 2), 12, 1), ("PLUM", (13, 0), 12, 0), ("PLUM", (2, 7), 12, 0), ("PLUM", (9, 7), 6, 0), ("PLUM", (6, 0), 6, 0), ("LEMON", (10, 0), 12, 1), ("LEMON", (5, 7), 12, 1), ("LEMON", (7, 4), 12, 2), ("LEMON", (8, 3), 12, 2), ("APPLE", (14, 6), 14, 0), ("APPLE", (1, 1), 14, 0), ("BANANA", (0, 4), 6, 1), ("BANANA", (15, 3), 6, 1), ("BANANA", (14, 4), 6, 1), ("BANANA", (1, 3), 6, 1)]
TRACE	9865021	1	0	4	["HARVEST 1"]	["HARVEST 0"]	[(1, (7, 2), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[(0, (8, 5), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[5, 10, 5, 6, 10, 0]	[5, 10, 5, 6, 10, 0]	[26, 26]	16	[("PLUM", (8, 5), 12, 1), ("PLUM", (7, 2), 12, 1), ("PLUM", (13, 0), 12, 0), ("PLUM", (2, 7), 12, 0), ("PLUM", (9, 7), 6, 0), ("PLUM", (6, 0), 6, 0), ("LEMON", (10, 0), 12, 1), ("LEMON", (5, 7), 12, 1), ("LEMON", (7, 4), 12, 2), ("LEMON", (8, 3), 12, 2), ("APPLE", (14, 6), 14, 0), ("APPLE", (1, 1), 14, 0), ("BANANA", (0, 4), 6, 2), ("BANANA", (15, 3), 6, 2), ("BANANA", (14, 4), 6, 1), ("BANANA", (1, 3), 6, 1)]
TRACE	9865021	1	0	5	["DROP 1"]	["DROP 0"]	[(1, (7, 2), 1, 1, 1, 1, [1, 0, 0, 0, 0, 0])]	[(0, (8, 5), 1, 1, 1, 1, [1, 0, 0, 0, 0, 0])]	[5, 10, 5, 6, 10, 0]	[5, 10, 5, 6, 10, 0]	[26, 26]	16	[("PLUM", (8, 5), 12, 0), ("PLUM", (7, 2), 12, 0), ("PLUM", (13, 0), 12, 0), ("PLUM", (2, 7), 12, 0), ("PLUM", (9, 7), 6, 0), ("PLUM", (6, 0), 6, 0), ("LEMON", (10, 0), 12, 1), ("LEMON", (5, 7), 12, 1), ("LEMON", (7, 4), 12, 3), ("LEMON", (8, 3), 12, 3), ("APPLE", (14, 6), 14, 0), ("APPLE", (1, 1), 14, 0), ("BANANA", (0, 4), 6, 2), ("BANANA", (15, 3), 6, 2), ("BANANA", (14, 4), 6, 2), ("BANANA", (1, 3), 6, 2)]
TRACE	9865021	1	0	6	["WAIT"]	["WAIT"]	[(1, (7, 2), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[(0, (8, 5), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[6, 10, 5, 6, 10, 0]	[6, 10, 5, 6, 10, 0]	[27, 27]	16	[("PLUM", (8, 5), 12, 0), ("PLUM", (7, 2), 12, 0), ("PLUM", (13, 0), 12, 0), ("PLUM", (2, 7), 12, 0), ("PLUM", (9, 7), 8, 0), ("PLUM", (6, 0), 8, 0), ("LEMON", (10, 0), 12, 1), ("LEMON", (5, 7), 12, 1), ("LEMON", (7, 4), 12, 3), ("LEMON", (8, 3), 12, 3), ("APPLE", (14, 6), 17, 0), ("APPLE", (1, 1), 17, 0), ("BANANA", (0, 4), 6, 2), ("BANANA", (15, 3), 6, 2), ("BANANA", (14, 4), 6, 2), ("BANANA", (1, 3), 6, 2)]
TRACE	9865021	1	0	7	["WAIT"]	["WAIT"]	[(1, (7, 2), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[(0, (8, 5), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[6, 10, 5, 6, 10, 0]	[6, 10, 5, 6, 10, 0]	[27, 27]	16	[("PLUM", (8, 5), 12, 0), ("PLUM", (7, 2), 12, 0), ("PLUM", (13, 0), 12, 0), ("PLUM", (2, 7), 12, 0), ("PLUM", (9, 7), 8, 0), ("PLUM", (6, 0), 8, 0), ("LEMON", (10, 0), 12, 1), ("LEMON", (5, 7), 12, 1), ("LEMON", (7, 4), 12, 3), ("LEMON", (8, 3), 12, 3), ("APPLE", (14, 6), 17, 0), ("APPLE", (1, 1), 17, 0), ("BANANA", (0, 4), 6, 2), ("BANANA", (15, 3), 6, 2), ("BANANA", (14, 4), 6, 2), ("BANANA", (1, 3), 6, 2)]
TRACE	9865021	1	0	8	["HARVEST 1"]	["HARVEST 0"]	[(1, (7, 2), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[(0, (8, 5), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[6, 10, 5, 6, 10, 0]	[6, 10, 5, 6, 10, 0]	[27, 27]	16	[("PLUM", (8, 5), 12, 1), ("PLUM", (7, 2), 12, 1), ("PLUM", (13, 0), 12, 0), ("PLUM", (2, 7), 12, 0), ("PLUM", (9, 7), 8, 0), ("PLUM", (6, 0), 8, 0), ("LEMON", (10, 0), 12, 1), ("LEMON", (5, 7), 12, 1), ("LEMON", (7, 4), 12, 3), ("LEMON", (8, 3), 12, 3), ("APPLE", (14, 6), 17, 0), ("APPLE", (1, 1), 17, 0), ("BANANA", (0, 4), 6, 3), ("BANANA", (15, 3), 6, 3), ("BANANA", (14, 4), 6, 2), ("BANANA", (1, 3), 6, 2)]
TRACE	9865021	1	0	9	["DROP 1"]	["DROP 0"]	[(1, (7, 2), 1, 1, 1, 1, [1, 0, 0, 0, 0, 0])]	[(0, (8, 5), 1, 1, 1, 1, [1, 0, 0, 0, 0, 0])]	[6, 10, 5, 6, 10, 0]	[6, 10, 5, 6, 10, 0]	[27, 27]	16	[("PLUM", (8, 5), 12, 0), ("PLUM", (7, 2), 12, 0), ("PLUM", (13, 0), 12, 0), ("PLUM", (2, 7), 12, 0), ("PLUM", (9, 7), 8, 0), ("PLUM", (6, 0), 8, 0), ("LEMON", (10, 0), 12, 1), ("LEMON", (5, 7), 12, 1), ("LEMON", (7, 4), 12, 3), ("LEMON", (8, 3), 12, 3), ("APPLE", (14, 6), 17, 0), ("APPLE", (1, 1), 17, 0), ("BANANA", (0, 4), 6, 3), ("BANANA", (15, 3), 6, 3), ("BANANA", (14, 4), 6, 3), ("BANANA", (1, 3), 6, 3)]
TRACE	9865021	1	0	10	["WAIT"]	["MOVE 0 8 4"]	[(1, (7, 2), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[(0, (8, 5), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[7, 10, 5, 6, 10, 0]	[7, 10, 5, 6, 10, 0]	[28, 28]	16	[("PLUM", (8, 5), 12, 0), ("PLUM", (7, 2), 12, 0), ("PLUM", (13, 0), 12, 0), ("PLUM", (2, 7), 12, 0), ("PLUM", (9, 7), 8, 0), ("PLUM", (6, 0), 8, 0), ("LEMON", (10, 0), 12, 2), ("LEMON", (5, 7), 12, 2), ("LEMON", (7, 4), 12, 3), ("LEMON", (8, 3), 12, 3), ("APPLE", (14, 6), 17, 0), ("APPLE", (1, 1), 17, 0), ("BANANA", (0, 4), 6, 3), ("BANANA", (15, 3), 6, 3), ("BANANA", (14, 4), 6, 3), ("BANANA", (1, 3), 6, 3)]
TRACE	9865021	1	0	11	["WAIT"]	["MOVE 0 7 4"]	[(1, (7, 2), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[(0, (8, 4), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[7, 10, 5, 6, 10, 0]	[7, 10, 5, 6, 10, 0]	[28, 28]	16	[("PLUM", (8, 5), 12, 0), ("PLUM", (7, 2), 12, 0), ("PLUM", (13, 0), 12, 1), ("PLUM", (2, 7), 12, 1), ("PLUM", (9, 7), 8, 0), ("PLUM", (6, 0), 8, 0), ("LEMON", (10, 0), 12, 2), ("LEMON", (5, 7), 12, 2), ("LEMON", (7, 4), 12, 3), ("LEMON", (8, 3), 12, 3), ("APPLE", (14, 6), 17, 0), ("APPLE", (1, 1), 17, 0), ("BANANA", (0, 4), 6, 3), ("BANANA", (15, 3), 6, 3), ("BANANA", (14, 4), 6, 3), ("BANANA", (1, 3), 6, 3)]
TRACE	9865021	1	0	12	["WAIT"]	["MOVE 0 7 3"]	[(1, (7, 2), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[(0, (7, 4), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[7, 10, 5, 6, 10, 0]	[7, 10, 5, 6, 10, 0]	[28, 28]	16	[("PLUM", (8, 5), 12, 0), ("PLUM", (7, 2), 12, 0), ("PLUM", (13, 0), 12, 1), ("PLUM", (2, 7), 12, 1), ("PLUM", (9, 7), 8, 0), ("PLUM", (6, 0), 8, 0), ("LEMON", (10, 0), 12, 2), ("LEMON", (5, 7), 12, 2), ("LEMON", (7, 4), 12, 3), ("LEMON", (8, 3), 12, 3), ("APPLE", (14, 6), 17, 0), ("APPLE", (1, 1), 17, 0), ("BANANA", (0, 4), 6, 3), ("BANANA", (15, 3), 6, 3), ("BANANA", (14, 4), 6, 3), ("BANANA", (1, 3), 6, 3)]
TRACE	9865021	1	0	13	["WAIT"]	["MOVE 0 7 2"]	[(1, (7, 2), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[(0, (7, 3), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[7, 10, 5, 6, 10, 0]	[7, 10, 5, 6, 10, 0]	[28, 28]	16	[("PLUM", (8, 5), 12, 0), ("PLUM", (7, 2), 12, 0), ("PLUM", (13, 0), 12, 1), ("PLUM", (2, 7), 12, 1), ("PLUM", (9, 7), 8, 0), ("PLUM", (6, 0), 8, 0), ("LEMON", (10, 0), 12, 2), ("LEMON", (5, 7), 12, 2), ("LEMON", (7, 4), 12, 3), ("LEMON", (8, 3), 12, 3), ("APPLE", (14, 6), 17, 0), ("APPLE", (1, 1), 17, 0), ("BANANA", (0, 4), 6, 3), ("BANANA", (15, 3), 6, 3), ("BANANA", (14, 4), 6, 3), ("BANANA", (1, 3), 6, 3)]
TRACE	9865021	1	0	14	["WAIT"]	["WAIT"]	[(1, (7, 2), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[(0, (7, 2), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[7, 10, 5, 6, 10, 0]	[7, 10, 5, 6, 10, 0]	[28, 28]	16	[("PLUM", (8, 5), 12, 0), ("PLUM", (7, 2), 12, 0), ("PLUM", (13, 0), 12, 1), ("PLUM", (2, 7), 12, 1), ("PLUM", (9, 7), 10, 0), ("PLUM", (6, 0), 10, 0), ("LEMON", (10, 0), 12, 2), ("LEMON", (5, 7), 12, 2), ("LEMON", (7, 4), 12, 3), ("LEMON", (8, 3), 12, 3), ("APPLE", (14, 6), 17, 0), ("APPLE", (1, 1), 17, 0), ("BANANA", (0, 4), 6, 3), ("BANANA", (15, 3), 6, 3), ("BANANA", (14, 4), 6, 3), ("BANANA", (1, 3), 6, 3)]
TRACE	9865021	1	0	15	["WAIT"]	["WAIT"]	[(1, (7, 2), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[(0, (7, 2), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[7, 10, 5, 6, 10, 0]	[7, 10, 5, 6, 10, 0]	[28, 28]	16	[("PLUM", (8, 5), 12, 0), ("PLUM", (7, 2), 12, 0), ("PLUM", (13, 0), 12, 1), ("PLUM", (2, 7), 12, 1), ("PLUM", (9, 7), 10, 0), ("PLUM", (6, 0), 10, 0), ("LEMON", (10, 0), 12, 2), ("LEMON", (5, 7), 12, 2), ("LEMON", (7, 4), 12, 3), ("LEMON", (8, 3), 12, 3), ("APPLE", (14, 6), 20, 0), ("APPLE", (1, 1), 20, 0), ("BANANA", (0, 4), 6, 3), ("BANANA", (15, 3), 6, 3), ("BANANA", (14, 4), 6, 3), ("BANANA", (1, 3), 6, 3)]
TRACE	9865021	1	0	16	["HARVEST 1"]	["HARVEST 0"]	[(1, (7, 2), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[(0, (7, 2), 1, 1, 1, 1, [0, 0, 0, 0, 0, 0])]	[7, 10, 5, 6, 10, 0]	[7, 10, 5, 6, 10, 0]	[28, 28]	16	[("PLUM", (8, 5), 12, 1), ("PLUM", (7, 2), 12, 1), ("PLUM", (13, 0), 12, 1), ("PLUM", (2, 7), 12, 1), ("PLUM", (9, 7), 10, 0), ("PLUM", (6, 0), 10, 0), ("LEMON", (10, 0), 12, 2), ("LEMON", (5, 7), 12, 2), ("LEMON", (7, 4), 12, 3), ("LEMON", (8, 3), 12, 3), ("APPLE", (14, 6), 20, 0), ("APPLE", (1, 1), 20, 0), ("BANANA", (0, 4), 6, 3), ("BANANA", (15, 3), 6, 3), ("BANANA", (14, 4), 6, 3), ("BANANA", (1, 3), 6, 3)]
TRACE	9865021	1	0	17	["DROP 1"]	["MOVE 0 7 3"]	[(1, (7, 2), 1, 1, 1, 1, [1, 0, 0, 0, 0, 0])]	[(0, (7, 2), 1, 1, 1, 1, [1, 0, 0, 0, 0, 0])]	[7, 10, 5, 6, 10, 0]	[7, 10, 5, 6, 10, 0]	[28, 28]	16	[("PLUM", (8, 5), 12, 1), ("PLUM", (7, 2), 12, 0), ("PLUM", (13, 0), 12, 1), ("PLUM", (2, 7), 12, 1), ("PLUM", (9, 7), 10, 0), ("PLUM", (6, 0), 10, 0), ("LEMON", (10, 0), 12, 2), ("LEMON", (5, 7), 12, 2), ("LEMON", (7, 4), 12, 3), ("LEMON", (8, 3), 12, 3), ("APPLE", (14, 6), 20, 0), ("APPLE", (1, 1), 20, 0), ("BANANA", (0, 4), 6, 3), ("BANANA", (15, 3), 6, 3), ("BANANA", (14, 4), 6, 3), ("BANANA", (1, 3), 6, 3)]
