# gameId 895227575  LOSS  scores [105.0, 251.0]
# mybuild 0:1.1.1.1,2:2.1.0.2  oppbuild 1:1.1.1.1,3:2.2.0.2  my_train t3  opp_train t15
# t  me  opp  mywood  oppwood  trees
1	23	23	0	0	16
2	23	23	0	0	16
3	14	23	0	0	16
4	14	23	0	0	17
5	13	23	0	0	17
6	13	23	0	0	17
7	13	23	0	0	18
8	13	24	0	0	18
9	12	24	0	0	18
10	12	24	0	0	17
11	12	24	0	0	18
12	16	24	1	0	18
13	16	24	1	0	18
14	16	25	1	0	18
15	16	14	1	0	18
16	15	13	1	0	18
17	15	13	1	0	19
18	15	12	1	0	20
19	15	12	1	0	19
20	14	12	1	0	20
21	14	12	1	0	20
22	14	11	1	0	20
23	18	11	2	0	21
24	18	11	2	0	21
25	18	11	2	0	22
26	17	11	2	0	21
27	17	11	2	0	20
28	17	10	2	0	20
29	21	10	3	0	21
30	21	10	3	0	21
31	21	10	3	0	20
32	21	10	3	0	21
33	21	10	3	0	20
34	21	10	3	0	20
35	25	10	4	0	20
36	25	10	4	0	19
37	24	10	4	0	20
38	24	10	4	0	20
39	23	10	4	0	20
40	23	10	4	0	19
41	23	10	4	0	20
42	23	10	4	0	21
43	22	10	4	0	21
44	22	10	4	0	20
45	26	11	5	0	21
46	26	11	5	0	21
47	25	12	5	0	20
48	25	12	5	0	21
49	25	12	5	0	21
50	25	12	5	0	20
51	25	13	5	0	20
52	25	13	5	0	20
53	25	14	5	0	19
54	25	14	5	0	19
55	25	15	5	0	18
56	25	15	5	0	18
57	25	16	5	0	18
58	25	16	5	0	17
59	29	16	6	0	17
60	29	16	6	0	17
61	29	17	6	0	17
62	29	17	6	0	17
63	29	17	6	0	17
64	29	17	6	0	17
65	29	26	6	2	17
66	29	26	6	2	17
67	29	27	6	2	17
68	29	27	6	2	16
69	29	27	6	2	16
70	29	27	6	2	17
71	29	28	6	2	17
72	33	28	7	2	17
73	33	29	7	2	17
74	33	29	7	2	17
75	33	29	7	2	17
76	33	29	7	2	17
77	33	30	7	2	17
78	33	30	7	2	17
79	33	31	7	2	16
80	33	31	7	2	16
81	33	31	7	2	16
82	33	31	7	2	15
83	33	32	7	2	15
84	33	32	7	2	14
85	33	33	7	2	14
86	37	33	8	2	14
87	37	33	8	2	14
88	37	33	8	2	14
89	37	41	8	4	14
90	37	41	8	4	14
91	37	42	8	4	14
92	37	42	8	4	15
93	37	43	8	4	15
94	37	43	8	4	15
95	37	43	8	4	15
96	37	43	8	4	14
97	37	51	8	6	14
98	37	51	8	6	14
99	37	51	8	6	15
100	37	51	8	6	15
101	37	51	8	6	15
102	37	51	8	6	15
103	41	51	9	6	15
104	41	52	9	6	14
105	41	52	9	6	14
106	41	52	9	6	14
107	41	52	9	6	14
108	41	53	9	6	14
109	41	61	9	8	14
110	41	61	9	8	13
111	41	61	9	8	13
112	41	61	9	8	13
113	41	61	9	8	14
114	41	61	9	8	14
115	41	61	9	8	15
116	45	61	10	8	15
117	45	61	10	8	15
118	45	62	10	8	15
119	45	62	10	8	15
120	45	62	10	8	14
121	45	62	10	8	14
122	49	63	11	8	14
123	49	63	11	8	14
124	49	63	11	8	13
125	49	63	11	8	13
126	49	64	11	8	13
127	49	64	11	8	13
128	49	72	11	10	13
129	49	72	11	10	13
130	49	73	11	10	13
131	49	73	11	10	12
132	49	73	11	10	12
133	49	73	11	10	13
134	49	73	11	10	13
135	49	73	11	10	13
136	49	74	11	10	12
137	49	74	11	10	12
138	53	82	12	12	13
139	53	82	12	12	13
140	53	82	12	12	14
141	53	82	12	12	13
142	53	82	12	12	13
143	57	82	13	12	13
144	57	82	13	12	13
145	57	82	13	12	13
146	57	83	13	12	13
147	57	83	13	12	13
148	57	83	13	12	12
149	57	83	13	12	12
150	57	91	13	14	12
151	57	91	13	14	13
152	57	91	13	14	12
153	57	91	13	14	12
