iter,env_steps,margin,win_rate,my_wood,opp_wood,ep_return,n_trolls,entropy,v_loss,pg_loss,grad_norm
65,156000,-78.0,0.0,1.25,15.88,-19.48,1.25,1.409,0.9139,0.0595,0.82
66,158400,-43.12,0.0,2.38,4.5,-10.77,1.38,1.414,0.4665,-0.0536,1.339
67,160800,-36.62,0.0,2.12,1.75,-8.97,1.62,1.449,0.2856,-0.2031,1.311
68,163200,-58.12,0.0,2.0,9.25,-14.5,1.25,1.452,0.5446,-0.0273,0.432
69,165600,-37.38,0.0,2.0,4.5,-9.28,1.62,1.484,0.2951,-0.138,0.793
70,168000,-48.0,0.0,1.88,6.38,-11.73,1.25,1.445,0.3244,-0.044,0.912
71,170400,-43.88,0.0,2.0,6.25,-10.91,1.38,1.48,0.3659,-0.0488,0.566
72,172800,-45.38,0.0,2.0,5.25,-11.3,1.5,1.475,0.3075,-0.0654,0.437
73,175200,-47.38,0.0,0.75,2.88,-11.7,1.25,1.472,0.2072,-0.0755,0.387
74,177600,-43.88,0.0,3.75,8.88,-10.83,1.75,1.511,0.4813,-0.0502,0.603
75,180000,-39.88,0.0,1.38,4.5,-9.64,1.38,1.491,0.269,-0.0464,0.371
76,182400,-48.25,0.0,1.88,8.0,-11.94,1.5,1.497,0.3771,-0.0014,0.584
77,184800,-61.0,0.0,2.12,13.25,-15.22,1.62,1.5,0.6879,0.0074,1.571
78,187200,-43.38,0.0,1.62,6.88,-10.84,1.5,1.495,0.3776,-0.0383,0.649
79,189600,-57.75,0.0,0.88,8.88,-14.38,1.0,1.474,0.3888,0.0247,0.743
80,192000,-57.38,0.0,1.0,9.38,-14.27,1.12,1.471,0.4053,0.025,0.878
81,194400,-61.25,0.0,1.38,9.25,-15.31,1.75,1.461,0.5724,-0.0029,1.314
82,196800,-59.88,0.0,1.5,10.62,-14.8,1.5,1.45,0.4927,0.0404,0.855
83,199200,-51.25,0.0,1.38,4.75,-12.73,1.5,1.44,0.2196,0.0203,0.453
84,201600,-57.5,0.0,0.88,5.88,-14.33,1.25,1.443,0.281,0.1187,0.688
85,204000,-62.0,0.0,1.12,10.25,-15.25,1.62,1.443,0.4799,0.0599,0.72
86,206400,-56.12,0.0,1.0,5.38,-13.88,1.12,1.449,0.2374,0.0148,0.414
87,208800,-62.75,0.0,0.62,8.62,-15.55,1.25,1.451,0.5138,0.0389,0.488
88,211200,-48.5,0.0,1.38,2.62,-11.92,1.38,1.452,0.2274,0.0248,0.979
89,213600,-37.5,0.0,1.38,3.75,-9.25,1.5,1.455,0.2351,-0.0246,1.124
90,216000,-46.88,0.0,1.25,6.62,-11.59,1.12,1.462,0.4414,0.0192,1.243
91,218400,-46.62,0.0,1.25,6.62,-11.56,1.38,1.468,0.3502,0.0082,0.965
92,220800,-86.38,0.0,1.12,16.5,-21.59,1.38,1.461,0.8949,0.0503,1.217
