game,opp_id,won,my_score,opp_score,t,total,ours,opp,uncertain,dead,created_exposed,own_half_exposed,cfg_margin,cfg_future_seed,cfg_created_near_tent_r,cfg_farm_r,raw
895549961,boss,False,229.0,284.0,225,369,78,252,39,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,230,364,0,63,301,0,0,97,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,235,381,39,147,195,0,0,58,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,240,370,77,238,55,0,0,20,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,245,385,97,268,20,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,250,349,57,252,40,0,0,20,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,255,363,58,207,98,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,260,348,97,173,78,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,265,341,39,224,78,0,0,38,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,270,361,77,284,0,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,275,352,97,215,40,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,280,347,39,269,39,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,285,340,58,262,20,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,290,343,19,180,0,144,0,39,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,295,332,0,98,0,234,0,39,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549961,boss,False,229.0,284.0,300,315,0,0,0,315,0,39,3,1,2,2,data/boss5_games/boss/game_895549961.raw
895549976,boss,False,181.0,239.0,5,168,86,82,0,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,10,202,105,97,0,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,15,222,121,89,12,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,20,254,145,109,0,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,25,276,164,112,0,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,30,293,180,113,0,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,35,310,196,114,0,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,40,324,91,217,16,0,16,114,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,45,337,38,163,136,0,57,172,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,50,332,118,136,78,0,59,78,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,55,333,0,175,158,0,79,177,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,60,339,60,200,79,0,0,98,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,65,317,137,101,79,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,70,313,102,89,122,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,75,330,98,193,39,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,80,335,19,257,59,0,0,59,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,85,332,0,215,117,0,0,78,3,1,2,2,data/boss5_games/boss/game_895549976.raw
