duration_bin,games,exact_identities,pseudos,seat_0,seat_1,mean_turns,median_turns,mean_margin,mean_win,mean_resident_final_score,mean_opponent_final_score,mean_resident_score_pre,mean_opponent_score_pre
100_to_149,13,8,8,10,3,132.15384615384616,130,6.615384615384615,0.38461538461538464,105.53846153846153,98.92307692307692,22.18,22.644615384615385
150_to_199,23,13,11,16,7,180.6086956521739,183,8.08695652173913,0.6521739130434783,136.34782608695653,128.2608695652174,22.18,22.495652173913044
200_to_249,35,22,14,16,19,226.34285714285716,226,2.2,0.34285714285714286,155.65714285714284,153.45714285714286,22.18,22.249714285714287
250_to_299,45,24,13,24,21,281.0888888888889,284,-2.488888888888889,0.3111111111111111,183.06666666666666,185.55555555555554,22.18,22.77488888888889
300,125,57,37,60,65,300,300,-1.728,0.54,209.288,211.016,22.18,23.1008
