iter,env_steps,margin,win_rate,my_wood,opp_wood,ep_return,n_trolls,entropy,v_loss,pg_loss,grad_norm
65,156000,-11.5,0.5,15.62,14.5,-2.84,1.5,1.367,1.078,-0.0688,0.609
66,158400,-10.0,0.25,5.0,4.25,-2.41,1.12,1.406,0.6051,-0.1178,0.913
67,160800,89.38,0.875,35.0,2.0,22.61,1.88,1.276,0.7931,-0.0931,2.61
68,163200,-1.38,0.25,14.25,9.75,-0.31,1.5,1.375,0.6218,-0.0972,0.344
69,165600,80.62,0.75,34.5,5.62,20.53,2.0,1.272,0.9367,-0.0529,1.681
70,168000,2.0,0.5,11.62,6.5,0.66,1.38,1.412,0.8858,-0.1421,0.923
71,170400,32.12,0.5,21.75,7.88,8.16,1.75,1.373,0.7945,-0.023,0.684
72,172800,12.12,0.25,14.75,6.12,3.08,1.5,1.401,0.5187,-0.0137,0.386
73,175200,12.12,0.5,13.25,3.5,3.22,1.38,1.382,0.4915,-0.1157,0.349
74,177600,41.75,0.625,26.25,10.25,10.53,1.75,1.341,0.7056,-0.1193,0.35
75,180000,54.75,0.75,25.25,5.25,13.7,1.62,1.337,0.9268,-0.0939,1.169
76,182400,-8.62,0.125,8.5,8.88,-2.12,1.38,1.446,0.6806,0.0046,0.541
77,184800,-11.38,0.375,15.75,16.12,-2.7,1.62,1.394,1.168,0.0042,1.249
78,187200,30.38,0.375,22.62,8.75,7.62,1.75,1.358,0.5913,0.0692,0.862
79,189600,6.75,0.5,14.0,9.12,1.88,1.5,1.418,1.0706,0.0765,0.578
80,192000,5.62,0.375,14.5,9.12,1.42,1.5,1.41,0.7243,0.0093,0.682
81,194400,7.12,0.5,16.62,10.62,1.83,1.5,1.405,0.8645,-0.0958,0.833
82,196800,-21.5,0.25,12.25,13.88,-5.34,1.5,1.434,0.9114,0.0595,1.262
83,199200,22.25,0.5,19.38,5.62,5.61,1.62,1.391,0.5962,0.0214,0.8
84,201600,-25.38,0.375,6.38,7.5,-6.31,1.25,1.474,0.6117,0.0744,1.353
85,204000,-16.75,0.375,11.88,12.12,-4.09,1.5,1.45,0.6739,0.1237,1.069
86,206400,-14.12,0.125,7.75,5.12,-3.39,1.38,1.444,0.4947,0.1116,1.179
87,208800,-22.88,0.25,9.88,11.0,-5.66,1.38,1.455,0.8118,0.0313,0.942
88,211200,8.0,0.5,11.25,3.25,2.19,1.38,1.447,0.3711,0.0345,0.378
89,213600,40.25,0.5,21.75,5.0,10.12,1.75,1.391,0.7904,-0.1491,0.731
90,216000,39.5,0.625,22.0,7.12,9.88,1.62,1.388,0.8241,-0.0622,0.89
91,218400,7.12,0.625,13.5,8.5,1.8,1.5,1.433,0.6731,-0.0734,0.516
92,220800,-30.5,0.25,12.5,16.88,-7.41,1.5,1.429,1.4934,-0.0409,0.663
93,223200,-15.75,0.375,11.5,12.25,-3.89,1.38,1.441,1.0082,-0.1962,0.738
94,225600,-17.88,0.25,12.5,12.25,-4.41,1.38,1.429,0.9503,-0.0712,0.719
