game_id,kind,path,bytes,sha256,cuts
892589608,raw,/home/tarstars/prj/troll_farm/data/raw/games/892589608.json,210377,67b857e81e57e79c955e239f8f292b19f4e7dcee28b8f9325c48d29ddb56e3ac,"anchor_matching,current"
892589608,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/892589608.jsonl,28528,e225d44e2109b4d542e03905bdb2a491994b58cf930f2ef863ee4bc291ad1ea5,"anchor_matching,current"
892589615,raw,/home/tarstars/prj/troll_farm/data/raw/games/892589615.json,266743,47300512bba32d449536e99f852f0b5e45a6de320e80c7a3954d7f5145e7aa47,"anchor_matching,current"
892589615,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/892589615.jsonl,38847,8d5dd9d2ece7e739a0a7c53a92e4e35965637a335efc1b9b515e12af831fcd5e,"anchor_matching,current"
892727145,raw,/home/tarstars/prj/troll_farm/data/raw/games/892727145.json,246823,fd3447b3a98e433e0ccd83c21673ca36f22e516309aeb5c08c8b25f02a2befc5,"anchor_matching,current"
892727145,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/892727145.jsonl,34373,9e0c6c3b0ae29d33b1189ff1a0cc58423bba47f56a6070107c92960d32c190ee,"anchor_matching,current"
892864192,raw,/home/tarstars/prj/troll_farm/data/raw/games/892864192.json,194542,f54e8c7c7e41e37e32aac54d1f8090842724a10bd0ffd9d78a31a024f610113d,"anchor_matching,current"
892864192,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/892864192.jsonl,29675,4e0583c461b37f50ba94b0971512b2609c449f677bfc2c5e0e5361baec481e36,"anchor_matching,current"
892881842,raw,/home/tarstars/prj/troll_farm/data/raw/games/892881842.json,208420,d1ed0407bc95b9bd7a0431c4ef9d6654b56a54b820723ee9a10ee0858240d5b7,"anchor_matching,current"
892881842,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/892881842.jsonl,28716,d5110fb213700d7b7d3772b6d886ce07608327d7b751d80335fd6c7e663b1194,"anchor_matching,current"
892907456,raw,/home/tarstars/prj/troll_farm/data/raw/games/892907456.json,201275,f2965312e618846d70172d4254e975bdb2bc66fde155b72fe2849d2d25b2a12a,"anchor_matching,current"
892907456,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/892907456.jsonl,24699,909b56580e33b9dfcffef1649e028bd847f08aa2de9364d15b689c87d4067be4,"anchor_matching,current"
892925601,raw,/home/tarstars/prj/troll_farm/data/raw/games/892925601.json,224081,920cde1d7331e59c87685264f66928edb43a3abd91cbbd3a53bd33fc66691126,"anchor_matching,current"
892925601,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/892925601.jsonl,30297,a1e6f8da2c7c18769da8acee97681efdd7c5957903274f9883c6a7e68b78a82e,"anchor_matching,current"
892970049,raw,/home/tarstars/prj/troll_farm/data/raw/games/892970049.json,278241,7d9a12773f85469e6a7e245c1b17c6216959e2649a8a452854239ed74fc3f7ff,"anchor_matching,current"
892970049,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/892970049.jsonl,37112,78c312d80e8dba7b36473c3c46de2b098d0c95042bfaacc909f27b28f3fe9eaf,"anchor_matching,current"
892982836,raw,/home/tarstars/prj/troll_farm/data/raw/games/892982836.json,293897,4f1db8a145fb9821a3d7b5478d16930236628b92c1f9f1affd6a8ac786f5eda4,"anchor_matching,current"
892982836,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/892982836.jsonl,35719,bb2fe56bc3ce63adca09936314680de1ad8fb043a5d2949315989cbf4052eb34,"anchor_matching,current"
892992658,raw,/home/tarstars/prj/troll_farm/data/raw/games/892992658.json,281551,18485983c78e19bc09e0e47f19b3181e881cbef7762a59ea401e0760723b093e,"anchor_matching,current"
892992658,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/892992658.jsonl,42551,3ccc4af4302e3a4b1b2c6d4a80617ae9f99373dc3a5998af1c95dfa5621d7d75,"anchor_matching,current"
893001832,raw,/home/tarstars/prj/troll_farm/data/raw/games/893001832.json,281776,90b5ba878956a7572cc4be3e9736ddbaf88e1ca2c9012089c3ce3abbdb0b805e,"anchor_matching,current"
893001832,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/893001832.jsonl,54380,0cdc4896da6ac209891088fb3c52114979faf477be620bd3ab4b6bf40d68af26,"anchor_matching,current"
893004231,raw,/home/tarstars/prj/troll_farm/data/raw/games/893004231.json,208068,9702be962141cee80420500b008c723645bd7e97b7e017288f587188f8994a9c,"anchor_matching,current"
893004231,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/893004231.jsonl,32314,f59f48cef9b5079fecf880999986d099d7ffd86acc03fd3454c90748c3cff989,"anchor_matching,current"
893009790,raw,/home/tarstars/prj/troll_farm/data/raw/games/893009790.json,325544,0a89fb5e6cf616c8517394bb293b187bd6a51d0dca48608a6a7fc75c38dee04b,"anchor_matching,current"
893009790,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/893009790.jsonl,38612,ccac06483fbf720536eb8ecfeabd9b4f4e2afe5e84deef335de314d64c50cee4,"anchor_matching,current"
893172014,raw,/home/tarstars/prj/troll_farm/data/raw/games/893172014.json,311589,b76ed254d41f506ba6d7b460f4322f4ab5cdadb32454df07ac3366cdab501647,"anchor_matching,current"
893172014,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/893172014.jsonl,48145,678121079647c8b1fd5c212fedf5d4c487fa39ff165fa7763e43d8bffca709b3,"anchor_matching,current"
893174122,raw,/home/tarstars/prj/troll_farm/data/raw/games/893174122.json,305665,fe3698581548f49fad5074254cec5cc859317466c8c2b383d67f298319c160a0,"anchor_matching,current"
893174122,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/893174122.jsonl,48509,18d15af9d0e3ec22d6ee15cc03ecaaba2348efe42cf5537edcb8da921fa59fed,"anchor_matching,current"
893202307,raw,/home/tarstars/prj/troll_farm/data/raw/games/893202307.json,309722,a4f8fa745c2df700342401d3f7eac119aa8fdcd321e60c6d53efc0a6da2a4e1d,"anchor_matching,current"
893202307,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/893202307.jsonl,43867,34f813021a6aebede6b0b884fd35063bb7f75e83f16952b58fa445d45f5e6461,"anchor_matching,current"
893254039,raw,/home/tarstars/prj/troll_farm/data/raw/games/893254039.json,336906,199d162b65ede8cc2774f6706e0be07d734a3c947bbd469e7f7f042d99023483,"anchor_matching,current"
893254039,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/893254039.jsonl,61442,2c0f621d9c5aa6cb3713a9c0d2e0cfe8033f171ab1f6fb07c6bc7c47d1ab4bc6,"anchor_matching,current"
893254042,raw,/home/tarstars/prj/troll_farm/data/raw/games/893254042.json,258212,ba236c346d3d656f4d27fd136146177aec3d4c6b6e3c4051eabf6ea184a26a94,"anchor_matching,current"
893254042,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/893254042.jsonl,60109,a8d3da421f600dab4eb40c11368bf8bbee448e02309cb63d30e476acdf0baf40,"anchor_matching,current"
893255624,raw,/home/tarstars/prj/troll_farm/data/raw/games/893255624.json,303070,d901ad945603a6abc20c046881f7612d4436ae4d7e64ef3742c6a922372d22ef,"anchor_matching,current"
893255624,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/893255624.jsonl,60039,8af9fdf0aac1b50807a65353684b89817fc96e13c6d4f5653e0cb75247158950,"anchor_matching,current"
893255920,raw,/home/tarstars/prj/troll_farm/data/raw/games/893255920.json,336139,5ce746ca6da3c8c2f5b086f70797eb003d0117f83f0f8bb0dd59d818c4308e26,"anchor_matching,current"
893255920,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/893255920.jsonl,61805,bd813eee14b42c3e4d3364de72df033738390c38c5761534ad9b723ab4b9e403,"anchor_matching,current"
893256072,raw,/home/tarstars/prj/troll_farm/data/raw/games/893256072.json,330128,f2620221f583756c65580198dd8e523b97c34c6c65dcad96919a8393b786feb9,"anchor_matching,current"
893256072,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/893256072.jsonl,58808,a6f61dc72b3f9404bac327cf7bb3de4e7133e720dbbc1b66a9ad5efe96d5a1b0,"anchor_matching,current"
893256180,raw,/home/tarstars/prj/troll_farm/data/raw/games/893256180.json,306497,b42ade7cb0788d3fa473e591e36d4b548e225a6cc374d25e5fc3e87ca24a9b82,"anchor_matching,current"
893256180,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/893256180.jsonl,60529,98f1ed3792af90d942fd0f33f9307e6fc5327c82aab09b4226a8c4a00bf2760b,"anchor_matching,current"
893256419,raw,/home/tarstars/prj/troll_farm/data/raw/games/893256419.json,203688,435673076d5cf64ed4aa284c2eee15252908796d06de2a7243731a687acdba3b,"anchor_matching,current"
893256419,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/893256419.jsonl,44242,2339b632117df7ebc7fa153a0cd8de24b2a1f635814b20a0cd58cead0f85398a,"anchor_matching,current"
893256430,raw,/home/tarstars/prj/troll_farm/data/raw/games/893256430.json,265919,eb4917fb955eeec3a2f48e9a3c91f0899b703a82bb08ccacb9da09800ebbb100,"anchor_matching,current"
893256430,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/893256430.jsonl,59761,995986417a0c974a67dca8c9c68e831a3ba88863d5ff61984970ebfa9d6284ca,"anchor_matching,current"
893256457,raw,/home/tarstars/prj/troll_farm/data/raw/games/893256457.json,288981,24b658c895ede315fa426dcd4cb46df55e191bd623c4fad1f2acd3447b2d1bde,"anchor_matching,current"
893256457,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/893256457.jsonl,60231,618bd066fa907aa3243c499759b604c1bfb238c5451d62bb43ec933082b29ade,"anchor_matching,current"
893306189,raw,/home/tarstars/prj/troll_farm/data/raw/games/893306189.json,184416,570dbe1624b4fd060e27790c9a02e60cefb638c9c3ac402aa25298e702496b85,"anchor_matching,current"
893306189,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/893306189.jsonl,25032,6568c5e5ad9794665b2e237b746230670e38db67b6af3fffe581a9de2c1a9d15,"anchor_matching,current"
893396225,raw,/home/tarstars/prj/troll_farm/data/raw/games/893396225.json,289186,4044ffa8bb99424776681b5eb8d04b0b5249116102afe2828006455aa1e34ed1,"anchor_matching,current"
893396225,trajectory,/home/tarstars/prj/troll_farm/data/processed/trajectories/893396225.jsonl,38515,6ab84a1c69c89dfb9791f5377379d07c6cf01a7c06bfb8d944ac46ee16491c33,"anchor_matching,current"
