cut,agent_id,pseudo,rank,group,games,first_plant_n,first_plant_coverage,first_plant_median,created,created_reaped,reap_rate,self_chop_game_rate,mean_score,mean_fruit_points,mean_wood_points,mean_wood_share
anchor_matching,6480541,yaichi,7,strong,176,175,0.9943181818181818,17,5274,535,0.10144103147516116,0.9829545454545454,258.9943181818182,7.130681818181818,251.86363636363637,0.9624482708561243
anchor_matching,6491563,Stounate,8,strong,173,173,1.0,3,4794,1239,0.25844806007509386,0.9826589595375722,205.8092485549133,22.22543352601156,183.58381502890174,0.8861762910162269
anchor_matching,6480520,skotz,10,strong,140,139,0.9928571428571429,19,5071,747,0.14730822323013212,0.9642857142857143,270.1928571428571,7.9071428571428575,262.2857142857143,0.9452619019937227
anchor_matching,6483545,Escdemon,11,strong,178,178,1.0,247.0,1063,26,0.024459078080903106,1.0,187.4494382022472,6.370786516853933,181.07865168539325,0.963922436752558
anchor_matching,6559862,therealbeef,12,strong,235,235,1.0,254,2443,0,0.0,1.0,192.0468085106383,2.1404255319148935,189.9063829787234,0.9887734758802664
anchor_matching,6479814,yamo,15,strong,140,135,0.9642857142857143,253,1473,0,0.0,0.9642857142857143,179.37857142857143,2.892857142857143,176.4857142857143,0.9837336002756936
anchor_matching,6479779,putibuzu,16,strong,154,154,1.0,15.0,2837,341,0.12019739161085653,1.0,244.43506493506493,56.357142857142854,188.07792207792207,0.7829822868494372
anchor_matching,6479420,Risen,17,strong,141,132,0.9361702127659575,24.5,3323,972,0.2925067709900692,0.9361702127659575,189.92198581560282,31.170212765957448,158.75177304964538,0.8090480775236942
anchor_matching,6479657,Konstant,24,strong,141,141,1.0,31,3762,589,0.15656565656565657,1.0,230.46808510638297,15.00709219858156,215.46099290780143,0.926006717621148
anchor_matching,6520935,goq,29,strong,267,266,0.9962546816479401,20.0,8308,1535,0.18476167549350023,0.9962546816479401,248.00749063670412,10.808988764044944,237.19850187265916,0.9548126036521427
anchor_matching,6480943,Dridriun,36,strong,137,137,1.0,3,1318,254,0.19271623672230653,0.9854014598540146,195.56934306569343,48.64963503649635,146.91970802919707,0.7779860274609309
anchor_matching,6479750,mehdi_ayari,38,strong,137,118,0.8613138686131386,146.0,1061,2,0.001885014137606032,0.8540145985401459,164.93430656934308,4.350364963503649,160.5839416058394,0.9663640471385461
anchor_matching,6561795,tass,43,resident,204,204,1.0,191.5,2262,21,0.009283819628647215,1.0,185.69607843137254,12.794117647058824,172.90196078431373,0.9469279883462319
anchor_matching,6481252,DaNinja,46,peer_weak,135,135,1.0,17,2899,886,0.30562262849258365,0.9703703703703703,215.24444444444444,43.98518518518519,171.25925925925927,0.7779824047568674
anchor_matching,6541379,GoodDevel,50,peer_weak,271,241,0.8892988929889298,22,8206,1075,0.13100170606873018,0.8892988929889298,210.87822878228783,11.70479704797048,199.17343173431735,0.9375416990051065
anchor_matching,6483491,VINCE_MX,54,peer_weak,13,11,0.8461538461538461,45,374,77,0.20588235294117646,0.8461538461538461,174.30769230769232,4.461538461538462,169.84615384615384,0.8415549404440698
anchor_matching,6480951,0x6E0FF,57,peer_weak,13,13,1.0,32,336,51,0.15178571428571427,1.0,203.92307692307693,4.538461538461538,199.3846153846154,0.9781639204604495
anchor_matching,6479388,Kheopsian,58,peer_weak,10,10,1.0,62.0,191,14,0.07329842931937172,1.0,139.8,7.0,132.8,0.9357851204708408
anchor_matching,6541416,Ticasali,63,peer_weak,23,23,1.0,17,549,94,0.17122040072859745,1.0,226.95652173913044,7.304347826086956,219.65217391304347,0.9650865679661308
anchor_matching,6479931,abdelmathin,73,peer_weak,10,10,1.0,40.5,183,18,0.09836065573770492,1.0,195.2,15.2,180.0,0.846447318125793
anchor_matching,6488436,NOIIICE,75,peer_weak,23,23,1.0,4,492,66,0.13414634146341464,0.9565217391304348,254.1304347826087,24.565217391304348,229.56521739130434,0.7414305024580786
anchor_matching,6505289,tonigineer,94,peer_weak,15,15,1.0,21,424,79,0.18632075471698112,1.0,224.0,41.06666666666667,182.93333333333334,0.8017540541229372
anchor_matching,6481094,Shun_PI,95,peer_weak,10,10,1.0,3.0,286,47,0.16433566433566432,1.0,171.2,17.6,153.6,0.8358834463040573
anchor_matching,6488432,anuragm,97,peer_weak,11,11,1.0,4,167,18,0.10778443113772455,1.0,192.36363636363637,22.90909090909091,169.45454545454547,0.727354511477455
anchor_matching,6499915,LeRenard,101,peer_weak,16,15,0.9375,110,165,0,0.0,0.9375,123.6875,1.4375,122.25,0.9128026509445328
anchor_matching,6535596,FRHT,104,peer_weak,14,13,0.9285714285714286,53,305,82,0.26885245901639343,0.9285714285714286,212.78571428571428,35.642857142857146,177.14285714285714,0.7818889323815952
current,6480541,yaichi,7,strong,176,175,0.9943181818181818,17,5274,535,0.10144103147516116,0.9829545454545454,258.9943181818182,7.130681818181818,251.86363636363637,0.9624482708561243
current,6491563,Stounate,8,strong,174,174,1.0,3.0,4827,1248,0.25854568054692356,0.9827586206896551,205.81034482758622,22.17816091954023,183.632183908046,0.886439868854935
current,6480520,skotz,9,strong,141,140,0.9929078014184397,19.0,5112,756,0.14788732394366197,0.9645390070921985,270.17021276595744,7.900709219858156,262.2695035460993,0.9454641776642323
current,6483545,Escdemon,11,strong,180,180,1.0,247.0,1080,26,0.024074074074074074,1.0,187.6888888888889,6.355555555555555,181.33333333333334,0.9640640077911533
current,6559862,therealbeef,12,strong,236,236,1.0,254.0,2454,0,0.0,1.0,192.23728813559322,2.152542372881356,190.08474576271186,0.9887316516332589
current,6479779,putibuzu,15,strong,155,155,1.0,15,2872,345,0.12012534818941505,1.0,244.53548387096774,56.303225806451614,188.23225806451612,0.7831913341303094
current,6479814,yamo,16,strong,140,135,0.9642857142857143,253,1473,0,0.0,0.9642857142857143,179.37857142857143,2.892857142857143,176.4857142857143,0.9837336002756936
current,6479420,Risen,17,strong,142,133,0.9366197183098591,25,3350,981,0.2928358208955224,0.9366197183098591,190.26760563380282,31.140845070422536,159.1267605633803,0.8095972409827028
current,6479657,Konstant,23,strong,146,146,1.0,31.5,3880,610,0.15721649484536082,1.0,232.6095890410959,15.212328767123287,217.3972602739726,0.9261186381755119
current,6479750,mehdi_ayari,35,strong,146,127,0.8698630136986302,152,1130,2,0.0017699115044247787,0.863013698630137,165.6095890410959,4.267123287671233,161.34246575342465,0.9672703375647688
current,6480943,Dridriun,43,strong,173,173,1.0,3,1727,333,0.19281991893456862,0.9884393063583815,197.97687861271677,48.08092485549133,149.89595375722544,0.7829870759770674
current,6561795,tass,47,resident,241,241,1.0,177,2736,23,0.008406432748538011,1.0,184.04564315352698,11.464730290456432,172.58091286307055,0.9525051372273416
current,6481252,DaNinja,48,peer_weak,163,163,1.0,17,3475,1060,0.30503597122302156,0.9754601226993865,215.99386503067484,45.09815950920245,170.8957055214724,0.7760463900857315
current,6580001,goq,54,peer_weak,41,41,1.0,14,1233,243,0.19708029197080293,1.0,243.1219512195122,13.170731707317072,229.9512195121951,0.943288972764454
current,6541379,GoodDevel,57,peer_weak,272,242,0.8897058823529411,22.0,8232,1078,0.13095238095238096,0.8897058823529411,210.69117647058823,11.75,198.94117647058823,0.93721985452347
current,6483491,VINCE_MX,58,peer_weak,14,12,0.8571428571428571,36.0,417,90,0.2158273381294964,0.8571428571428571,176.78571428571428,4.785714285714286,172.0,0.8497965732011407
current,6479388,Kheopsian,59,peer_weak,14,14,1.0,61.0,311,25,0.08038585209003216,1.0,145.64285714285714,7.071428571428571,138.57142857142858,0.940259685317716
current,6541416,Ticasali,65,peer_weak,24,24,1.0,16.5,575,100,0.17391304347826086,1.0,225.5,7.5,218.0,0.9639371276342086
current,6480951,0x6E0FF,66,peer_weak,15,15,1.0,28,390,62,0.15897435897435896,1.0,208.66666666666666,4.4,204.26666666666668,0.978982722097113
current,6479931,abdelmathin,77,peer_weak,10,10,1.0,40.5,183,18,0.09836065573770492,1.0,195.2,15.2,180.0,0.846447318125793
current,6488436,NOIIICE,78,peer_weak,24,24,1.0,4.0,508,68,0.13385826771653545,0.9583333333333334,254.29166666666666,23.791666666666668,230.5,0.7512352392742634
current,6488432,anuragm,92,peer_weak,11,11,1.0,4,167,18,0.10778443113772455,1.0,192.36363636363637,22.90909090909091,169.45454545454547,0.727354511477455
current,6481094,Shun_PI,93,peer_weak,11,11,1.0,3,313,56,0.17891373801916932,1.0,173.0,18.09090909090909,154.9090909090909,0.8398559649884576
current,6505289,tonigineer,97,peer_weak,16,16,1.0,21.0,451,86,0.19068736141906872,1.0,219.1875,41.6875,177.5,0.7924607522708658
current,6499915,LeRenard,104,peer_weak,16,15,0.9375,110,165,0,0.0,0.9375,123.6875,1.4375,122.25,0.9128026509445328
current,6535596,FRHT,105,peer_weak,15,14,0.9333333333333333,56.0,327,89,0.27217125382262997,0.9333333333333333,217.13333333333333,36.86666666666667,180.26666666666668,0.7834800299350524
