agent_id,pseudo,games,seat0,seat1,active,current_rank,current_score,primary_eligible,control_min,raw_mean_margin,raw_win_rate,mean_margin_residual,ci_low,ci_high,mean_win_residual,raw_p,holm_p,actionable,failed_actionability_gates
6480544,m4l0s4n,1,1,0,True,60,20.04,False,,-108.0,0.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6480545,BoatBuilder,5,3,2,True,31,23.02,True,10,-77.2,0.4,-73.1784126984127,-166.99333333333334,20.636507936507936,-0.1353968253968254,0.06145877082458351,0.18437631247375053,False,"ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_band_sensitivities_identified_negative"
6480943,Dridriun,16,12,4,True,43,22.17,False,4,-13.6875,0.375,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6480945,Halphas,1,0,1,True,62,19.81,False,,-12.0,0.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6480947,khanh-alice,5,4,1,True,30,23.23,False,,-95.4,0.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6480948,dabino,2,1,1,True,67,19.62,False,,9.0,0.5,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6481139,uta_ccc,2,0,2,True,21,24.14,False,,-12.5,0.5,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6481142,XSpace,6,2,4,True,20,24.28,False,1,14.5,0.5,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6481143,Pafin,3,1,2,True,37,22.78,False,,111.0,1.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6481144,Sequo,1,0,1,True,52,20.88,False,,48.0,1.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6481225,mikmak,2,2,0,True,24,23.66,False,,35.0,0.5,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6481252,DaNinja,2,2,0,True,48,21.24,False,,45.5,1.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6481269,AndreMarasca,1,1,0,True,70,19.52,False,,84.0,1.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6481270,zasmu,6,2,4,True,25,23.61,False,2,-6.5,0.3333333333333333,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6481547,bl4sterino,5,3,2,True,22,23.92,False,1,113.4,1.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6482016,DoubtinGiyov,5,1,4,True,40,22.49,False,,5.6,0.6,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
