variant_leg,leg,game_id,deployed_variant,deployed_first_mismatch_turn,seat,opponent_agent_id,opponent_submission_id,margin,win,catastrophe,initial_fingerprint,static_fingerprint,current_apple_activation_turn,apple_idle_activation_turn,banana_activation_turn,banana_idle_activation_turn,starter_base_verb,starter_base_command,starter_cell,mother_cell,starter_to_mother_turns,enemy_eta,apple_enemy_kill_eta,banana_enemy_kill_eta,apple_kill_safe,banana_kill_safe,apple_first_bank_eta,banana_first_bank_eta,apple_payback_safe,banana_payback_safe,apple_projected_banked_fruit,banana_projected_banked_fruit,bank_apple,bank_banana,actual_mother_planted,actual_first_plant_turn,actual_first_harvest_turn,actual_first_bank_turn,actual_banked_fruit,actual_harvested_fruit,actual_mother_survived
leg-01-no-orchard,1,897937504,no-orchard,181,1,6483325,40708752,86,True,False,355b1a1ba01879ee5b725646266f7b208fa94b7233bdb478bfc13c994d4ccafe,0a219e78091dc12277d3ecae92b6f98d000bb3ec950e5c4ae7475ceeac3d4224,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937552,no-orchard,83,0,6479750,40708706,89,True,False,1a6acab5d3bb2a7d93cc14c33e893ec9d0e1611980d866c4b9a8e6762b02e7a0,87b834c5d3ae8ecc4d59943cfc05e067142eb3a7cd4da869df9761aec173966f,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937563,no-orchard,,0,6480544,40697875,-76,False,False,bf65ebdbac82cfcdb19686ed7e5a951f95c1b54b5eab64fc592708127e74cc7a,695df57a95238b9decbfb577fb6be3aded102c885bb836cee8dbbeac86a03c45,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937577,no-orchard,84,1,6481144,40704362,-15,False,False,10c604f40183f98c43479f2452f11364e33db87ad4fa3c946d8df648f0efd81b,4847825e42b03baba6532e56298beedb1d528e823b159e8905e2b0037ae41300,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937586,no-orchard,125,1,6483325,40708752,87,True,False,904d1747f003dca04cb496c8c316b1c61f9a85fd2a49f85f8cc53a99b3fabdcc,cdec21f9a534a8cf6db5ab8806f2108fcababb5f42d0b19414e01f1085477c69,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937597,no-orchard,,0,6481144,40704362,4,True,False,78ec982c0a8da5e3325301fcc48e7a019890c6df9dbdaac15e8ea15061e9e387,eb19f1b16dd223b8b9a04354da108f5780ede6e0b12ef2005a00d2836ab8f1fc,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937608,no-orchard,51,1,6491567,40782415,-308,False,True,aae448b70c3b0c9c4b5b530dd29fc5ffb9fc2f2753f2efa4ebbe3bf5150407ec,81a5f331a5f243421ed1d0ced32e3dabd5f9d860acfccf4e7011dfd19f9df5f4,,,,,,,,16:6,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937618,no-orchard,,1,6480945,40690336,-44,False,False,390b023e9e2775df55f7f214317881d7e8ee7cd4843b9191a09120ebfa9e0751,89badebcee0c260b260c21d167f98d0e8ee55f803c3aa145b2768b893f632f65,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937627,no-orchard,86,1,6479483,40707367,40,True,False,84ecdb87737ce732cad8debb94df6b92567f7a5fde2ff1a8a16cb11fd88c2b30,f08108a91a74a0df633f2e35cb9b2338a30a80f4e61c75c57a767d5b6b55d997,51,,51,,MOVE,MOVE 1 13 1,14:1,15:2,2,17,37,23,True,True,13,21,True,False,119,58,7,3,False,,,,0,0,False
leg-01-no-orchard,1,897937632,no-orchard,,0,6479553,40707800,16,True,False,f6f5e1faf11ef1a78eb637815184110dddea6c61eb60f8e93fac3e2d42601bcb,3c450964a55f2d1e11e9b01e678eba132c924e7cfb8224d55b7ce50f430810c1,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937640,no-orchard,,1,6479388,40707808,38,True,False,b8bb16cac402264033141e5e0144cefabcc75916020c39238f8e5c3f8d01414c,fb5a581b47321c4ca6656943c1df42bda97da01154a31baed9c8adee6c593d87,2,,2,,MOVE,MOVE 1 15 4,15:3,15:1,4,19,39,25,True,True,15,23,True,False,142,69,1,6,False,,,,0,0,False
leg-01-no-orchard,1,897937657,no-orchard,,0,6480516,40707262,-180,False,True,b2aa9ec0972e3244193b41e536610b7c3471ccc0225b424836d7391f10ee7b3c,c9fe5827e60cf359f16005949378d65451bdd505d7662fdb1d48cd09fcb3b0ca,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937705,no-orchard,,0,6481252,40702285,7,True,False,9a8fc0bc8faf2369d9806f5cb3f323ff67e85bf3c5484c8c1c19770485ea5a6a,51cee7a34a1da23f56b222757faa6fdc02ebe4982e446570e0fce9b4cf3f82be,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937715,no-orchard,34,1,6541379,40843172,-17,False,False,4a7a3fef6a1d76a82c2ad95f70040f5caa3e9ea3e0c4ca354558f76c589e6793,88c19f425f6dafc2292ad123395bbeda3b3fda7d94da986c1d532f6298d93950,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937726,no-orchard,39,1,6479388,40707808,-71,False,False,ef4921f4705a544922f5a994e805c0436b008fdec6af3bb46ab10f8126133ee9,c629f5b647bdabeaba7d252308b5854796c00e4a924f8f4f3a4803f6ffa177dd,3,,3,,MOVE,MOVE 1 14 3,15:3,14:1,3,8,23,12,True,False,14,22,False,False,142,69,6,9,False,,,,0,0,False
leg-01-no-orchard,1,897937738,no-orchard,,0,6491567,40782415,387,True,False,f149b59edf35f37fbf09e138fdd369ab150e4ab011fcfcb0c67bab362117f9d1,55f284b7fcbfbf06bfb3f1f183ac1b6073be8a06cb45fa288b6a5f9956a84693,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937748,no-orchard,,0,6580001,41059538,20,True,False,614dc3be39e7ce011420449b9e7b757f0ad586983161fb370cf588152cad60c4,0b86f816bebf39f6bc3c5829c98534da2e45a168b7957e36116032bbf3fe7045,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937758,no-orchard,168,0,6480516,40707262,40,True,False,86c84c0632a03649d5ac8ddec30490d0203236812dcd71854decd152a8a438e3,4ecd6003348aae46cd935c20a9df49e3249a87727dbbace36755d971f5526b98,2,,2,,MOVE,MOVE 0 8 6,7:6,6:7,6,13,33,18,True,False,17,25,False,False,141,69,9,6,False,,,,0,0,False
leg-01-no-orchard,1,897937774,no-orchard,4,0,6512040,40851046,61,True,False,4a41fa280c85ed95b0b3ba1c862a8d0ce069f209b97bdbf69bb92303d2951a9d,c18056114a3187417fc6543faa3e72800c3a2bccc57e7ab70acd74836a262a49,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
