# gameId 895226656  LOSS  scores [144.0, 234.0]
# mybuild 0:1.1.1.1,2:2.2.0.2  oppbuild 1:1.1.1.1,3:2.2.0.2  my_train t33  opp_train t33
# t  me  opp  mywood  oppwood  trees
1	25	25	0	0	10
2	25	25	0	0	10
3	25	25	0	0	10
4	25	25	0	0	10
5	25	25	0	0	10
6	25	25	0	0	10
7	25	25	0	0	10
8	25	25	0	0	10
9	25	25	0	0	10
10	25	25	0	0	10
11	25	25	0	0	10
12	26	26	0	0	10
13	26	26	0	0	10
14	26	26	0	0	10
15	26	26	0	0	10
16	26	26	0	0	10
17	26	26	0	0	10
18	26	26	0	0	10
19	26	26	0	0	10
20	26	26	0	0	10
21	26	26	0	0	10
22	27	27	0	0	10
23	27	27	0	0	10
24	27	27	0	0	10
25	27	27	0	0	10
26	27	27	0	0	10
27	27	27	0	0	10
28	27	27	0	0	10
29	27	27	0	0	10
30	27	27	0	0	10
31	27	27	0	0	10
32	28	28	0	0	10
33	16	17	0	0	10
34	16	16	0	0	10
35	16	16	0	0	11
36	16	15	0	0	12
37	16	15	0	0	12
38	16	15	0	0	13
39	15	15	0	0	13
40	15	14	0	0	13
41	15	14	0	0	13
42	15	14	0	0	13
43	14	14	0	0	14
44	14	13	0	0	15
45	13	13	0	0	15
46	13	13	0	0	16
47	21	13	2	0	16
48	21	12	2	0	16
49	21	12	2	0	16
50	21	12	2	0	16
51	21	12	2	0	17
52	21	12	2	0	17
53	21	12	2	0	16
54	21	11	2	0	16
55	21	11	2	0	16
56	21	11	2	0	15
57	21	11	2	0	14
58	21	11	2	0	15
59	29	11	4	0	15
60	29	11	4	0	15
61	29	11	4	0	14
62	30	10	4	0	14
63	30	10	4	0	14
64	30	10	4	0	14
65	30	10	4	0	14
66	30	9	4	0	14
67	30	9	4	0	14
68	30	9	4	0	15
69	30	9	4	0	15
70	30	9	4	0	14
71	30	9	4	0	14
72	30	9	4	0	14
73	30	18	4	2	14
74	30	18	4	2	14
75	38	18	6	2	14
76	38	18	6	2	14
77	39	19	6	2	14
78	39	19	6	2	14
79	39	20	6	2	14
80	39	20	6	2	14
81	39	21	6	2	14
