seed,cand_seat,turns,cand_score,champ_score,cand_fruit,cand_wood,champ_fruit,champ_wood,cand_crash,champ_crash
176,0,300,140,288,8,33,8,70,0,0
176,1,300,150,24,14,34,16,2,0,0
177,0,300,171,237,7,41,9,57,0,0
177,1,281,161,208,13,37,8,50,0,0
178,0,230,232,296,0,58,8,72,0,0
178,1,241,204,296,4,50,8,72,0,0
179,0,197,154,115,10,36,3,28,0,0
179,1,200,162,122,10,38,2,30,0,0
180,0,300,138,341,2,34,9,83,0,0
180,1,300,131,276,3,32,12,66,0,0
181,0,250,123,207,7,29,7,50,0,0
181,1,264,116,187,0,29,7,45,0,0
182,0,154,135,126,15,30,14,28,0,0
182,1,149,139,131,15,31,11,30,0,0
183,0,212,191,133,15,44,13,30,0,0
183,1,215,199,174,15,46,14,40,0,0
184,0,158,161,118,9,38,14,26,0,0
184,1,169,165,156,9,39,12,36,0,0
185,0,300,148,307,8,35,11,74,0,0
185,1,300,149,341,9,35,9,83,0,0
186,0,300,155,34,19,34,22,3,0,0
186,1,298,146,306,14,33,10,74,0,0
187,0,203,156,206,0,39,10,49,0,0
187,1,231,138,222,2,34,10,53,0,0
188,0,300,110,300,10,25,8,73,0,0
188,1,300,119,271,7,28,7,66,0,0
189,0,263,221,345,13,52,17,82,0,0
189,1,300,235,358,7,57,14,86,0,0
190,0,300,210,290,18,48,18,68,0,0
190,1,300,227,298,15,53,14,71,0,0
191,0,234,176,272,0,44,8,66,0,0
191,1,238,167,257,3,41,9,62,0,0
192,0,289,192,211,0,48,11,50,0,0
192,1,297,180,210,0,45,10,50,0,0
193,0,223,193,133,5,47,5,32,0,0
193,1,236,193,42,5,47,6,9,0,0
194,0,225,150,222,2,37,10,53,0,0
194,1,213,126,215,6,30,15,50,0,0
195,0,300,222,86,10,53,6,20,0,0
195,1,280,158,203,6,38,11,48,0,0
196,0,300,160,13,8,38,13,0,0,0
196,1,300,157,289,1,39,9,70,0,0
197,0,243,211,304,3,52,8,74,0,0
197,1,251,212,304,0,53,8,74,0,0
198,0,285,164,227,0,41,11,54,0,0
198,1,281,155,216,7,37,8,52,0,0
199,0,300,200,331,0,50,7,81,0,0
199,1,292,240,313,0,60,5,77,0,0
