seed,cand_seat,turns,cand_score,champ_score,cand_fruit,cand_wood,champ_fruit,champ_wood,cand_crash,champ_crash
181,0,280,157,213,13,36,5,52,0,0
181,1,300,185,199,13,43,7,48,0,0
182,0,270,230,259,6,56,19,60,0,0
182,1,265,239,266,7,58,18,62,0,0
183,0,300,291,378,7,71,10,92,0,0
183,1,300,311,369,7,76,9,90,0,0
184,0,257,205,254,1,51,14,60,0,0
184,1,218,172,197,4,42,13,46,0,0
185,0,300,213,314,9,51,10,76,0,0
185,1,300,232,330,8,56,10,80,0,0
186,0,300,263,382,3,65,10,93,0,0
186,1,300,269,288,17,63,12,69,0,0
187,0,300,248,358,0,62,10,87,0,0
187,1,300,236,390,0,59,10,95,0,0
188,0,300,195,248,3,48,12,59,0,0
188,1,300,162,303,2,40,7,74,0,0
189,0,300,282,378,6,69,14,91,0,0
189,1,300,310,346,14,74,14,83,0,0
190,0,300,263,288,15,62,16,68,0,0
190,1,300,238,290,14,56,18,68,0,0
191,0,300,278,476,2,69,4,118,0,0
191,1,286,294,317,6,72,9,77,0,0
192,0,300,315,353,3,78,5,87,0,0
192,1,300,275,389,3,68,5,96,0,0
193,0,300,280,371,0,70,7,91,0,0
193,1,300,336,507,0,84,3,126,0,0
194,0,300,222,293,2,55,9,71,0,0
194,1,300,253,303,1,63,11,73,0,0
195,0,300,228,282,0,57,6,69,0,0
195,1,300,202,238,22,45,6,58,0,0
196,0,300,259,365,3,64,5,90,0,0
196,1,300,259,340,3,64,4,84,0,0
197,0,300,300,425,0,75,5,105,0,0
197,1,280,256,376,0,64,8,92,0,0
198,0,300,234,271,10,56,11,65,0,0
198,1,300,247,281,15,58,9,68,0,0
199,0,300,288,399,0,72,3,99,0,0
199,1,300,312,383,0,78,3,95,0,0
