seed,cand_seat,turns,cand_score,champ_score,cand_fruit,cand_wood,champ_fruit,champ_wood,cand_crash,champ_crash
62,0,300,15,361,15,0,5,89,0,0
62,1,300,388,324,8,95,4,80,0,0
63,0,300,267,271,15,63,11,65,0,0
63,1,300,280,283,16,66,11,68,0,0
64,0,300,374,348,10,91,4,86,0,0
64,1,300,345,364,17,82,4,90,0,0
65,0,300,346,361,10,84,9,88,0,0
65,1,300,357,345,9,87,9,84,0,0
66,0,300,390,336,18,93,12,81,0,0
66,1,300,388,355,24,91,11,86,0,0
67,0,241,344,274,8,84,10,66,0,0
67,1,245,310,344,6,76,8,84,0,0
68,0,300,377,399,17,90,11,97,0,0
68,1,300,395,379,11,96,11,92,0,0
69,0,300,343,356,7,84,4,88,0,0
69,1,300,366,332,6,90,4,82,0,0
70,0,300,372,364,12,90,12,88,0,0
70,1,300,391,340,15,94,12,82,0,0
71,0,281,339,318,7,83,10,77,0,0
71,1,270,300,343,12,72,7,84,0,0
72,0,300,17,357,17,0,5,88,0,0
72,1,300,356,349,12,86,5,86,0,0
73,0,300,408,430,8,100,6,106,0,0
73,1,300,430,418,6,106,6,103,0,0
74,0,157,170,174,10,40,10,41,0,0
74,1,161,170,178,10,40,10,42,0,0
75,0,300,469,432,9,115,8,106,0,0
75,1,300,441,468,13,107,8,115,0,0
76,0,300,360,368,12,87,12,89,0,0
76,1,300,370,370,14,89,14,89,0,0
77,0,300,199,279,7,48,7,68,0,0
77,1,300,31,211,31,0,7,51,0,0
78,0,300,377,367,25,88,11,89,0,0
78,1,300,401,367,21,95,11,89,0,0
79,0,300,352,350,24,82,10,85,0,0
79,1,300,361,371,25,84,11,90,0,0
80,0,300,21,383,21,0,3,95,0,0
80,1,300,21,395,21,0,3,98,0,0
81,0,202,141,139,17,31,19,30,0,0
81,1,202,139,141,19,30,17,31,0,0
82,0,300,367,346,23,86,10,84,0,0
82,1,300,309,306,13,74,10,74,0,0
83,0,300,450,430,10,110,10,105,0,0
83,1,300,425,434,13,103,10,106,0,0
84,0,300,283,323,11,68,11,78,0,0
84,1,300,292,292,16,69,12,70,0,0
85,0,300,367,379,23,86,11,92,0,0
85,1,300,219,322,123,24,10,78,0,0
86,0,300,385,396,5,95,4,98,0,0
86,1,300,393,388,5,97,4,96,0,0
87,0,300,289,273,9,70,9,66,0,0
87,1,300,330,337,18,78,9,82,0,0
88,0,300,328,306,12,79,2,76,0,0
88,1,300,346,290,10,84,2,72,0,0
89,0,300,373,368,13,90,8,90,0,0
89,1,300,349,372,17,83,8,91,0,0
90,0,300,423,412,11,103,8,101,0,0
90,1,300,397,420,13,96,8,103,0,0
91,0,300,401,371,25,94,11,90,0,0
91,1,300,370,412,26,86,12,100,0,0
92,0,300,366,378,14,88,10,92,0,0
92,1,300,350,370,14,84,10,90,0,0
93,0,300,405,377,9,99,9,92,0,0
93,1,300,405,417,9,99,9,102,0,0
94,0,300,478,444,14,116,12,108,0,0
94,1,300,429,471,13,104,11,115,0,0
95,0,300,23,297,23,0,9,72,0,0
95,1,300,27,289,27,0,9,70,0,0
96,0,300,175,232,3,43,4,57,0,0
96,1,300,232,175,4,57,3,43,0,0
97,0,288,235,228,11,56,12,54,0,0
97,1,300,229,221,9,55,9,53,0,0
98,0,300,426,383,18,102,11,93,0,0
98,1,300,399,423,23,94,11,103,0,0
99,0,300,304,374,24,70,10,91,0,0
99,1,300,343,337,23,80,9,82,0,0
100,0,300,288,276,8,70,8,67,0,0
100,1,300,359,277,7,88,5,68,0,0
101,0,291,221,221,13,52,13,52,0,0
101,1,296,210,194,10,50,10,46,0,0
102,0,300,410,434,18,98,10,106,0,0
102,1,300,391,411,19,93,11,100,0,0
103,0,241,208,166,16,48,14,38,0,0
103,1,247,189,206,13,44,14,48,0,0
104,0,300,22,384,22,0,8,94,0,0
104,1,300,20,336,20,0,8,82,0,0
105,0,300,227,199,11,54,11,47,0,0
105,1,300,261,233,9,63,9,56,0,0
106,0,300,421,359,13,102,7,88,0,0
106,1,300,387,416,7,95,8,102,0,0
107,0,300,348,368,8,85,8,90,0,0
107,1,300,616,429,12,151,9,105,0,0
108,0,300,247,279,15,58,7,68,0,0
108,1,300,237,251,13,56,7,61,0,0
