age_after_days,age_before_days,age_bin_after,age_bin_before,agent_id,crossed_age_bin,elapsed_days,from_snapshot,lifetime_battle_count_delta,pseudo,rank_after,rank_before,rank_delta,rank_only_movement,score_after,score_before,score_changed,score_changed_without_update_advance,score_delta,to_snapshot,update_advanced,update_advanced_without_score_change,update_regressed,user_id,visible_dropped_battle_ids,visible_new_battle_ids
62.89370054398148,62.806502673611114,ge_14d,ge_14d,6479387,False,0.0871978703720702,20260728T050038Z-d61p,,Bon[]Crayon,433.0,433.0,0.0,False,10.38,10.38,False,False,0.0,20260728T050038Z-d61p-wide21to50,False,False,False,3283415,0,0
63.061869953703706,62.89370054398148,ge_14d,ge_14d,6479387,False,0.16816940972098599,20260728T050038Z-d61p-wide21to50,,Bon[]Crayon,430.0,433.0,-3.0,True,10.38,10.38,False,False,0.0,20260728T110709Z-d61p-wide,False,False,False,3283415,0,0
63.69592533564815,63.061869953703706,ge_14d,ge_14d,6479387,False,0.6340553819443341,20260728T110709Z-d61p-wide,,Bon[]Crayon,431.0,430.0,1.0,True,10.38,10.38,False,False,0.0,20260729T021701Z-d61p-wide,False,False,False,3283415,0,0
64.69547038194445,63.69592533564815,ge_14d,ge_14d,6479387,False,0.9995450462980403,20260729T021701Z-d61p-wide,,Bon[]Crayon,435.0,431.0,4.0,False,10.3,10.38,True,False,-0.08000000000000007,20260730T021701Z-d61p-wide,True,False,False,3283415,0,0
62.14532155092592,56.05452069444445,ge_14d,ge_14d,6479388,False,6.090800856481548,20260721T105508Z-d61p,,Kheopsian,59.0,62.0,-3.0,False,20.31,20.2,True,False,0.10999999999999943,20260727T130712Z-d61p,True,False,False,3573721,0,0
62.806500219907406,62.14532155092592,ge_14d,ge_14d,6479388,False,0.6611786689802452,20260727T130712Z-d61p,,Kheopsian,59.0,59.0,0.0,False,20.31,20.31,False,False,0.0,20260728T050038Z-d61p,False,False,False,3573721,0,0
62.89369809027777,62.806500219907406,ge_14d,ge_14d,6479388,False,0.0871978703720702,20260728T050038Z-d61p,,Kheopsian,59.0,59.0,0.0,False,20.31,20.31,False,False,0.0,20260728T050038Z-d61p-wide21to50,False,False,False,3573721,0,0
63.0618675,62.89369809027777,ge_14d,ge_14d,6479388,False,0.16816940972098599,20260728T050038Z-d61p-wide21to50,,Kheopsian,58.0,59.0,-1.0,True,20.31,20.31,False,False,0.0,20260728T110709Z-d61p-wide,False,False,False,3573721,0,0
63.69592288194444,63.0618675,ge_14d,ge_14d,6479388,False,0.6340553819443341,20260728T110709Z-d61p-wide,,Kheopsian,58.0,58.0,0.0,False,20.16,20.31,True,False,-0.14999999999999858,20260729T021701Z-d61p-wide,True,False,False,3573721,0,0
64.69546792824073,63.69592288194444,ge_14d,ge_14d,6479388,False,0.9995450462980403,20260729T021701Z-d61p-wide,,Kheopsian,59.0,58.0,1.0,False,20.09,20.16,True,False,-0.07000000000000028,20260730T021701Z-d61p-wide,True,False,False,3573721,0,0
62.145290949074074,56.054490092592594,ge_14d,ge_14d,6479396,False,6.090800856481548,20260721T105508Z-d61p,,Erickpi,322.0,324.0,-2.0,True,11.7,11.7,False,False,0.0,20260727T130712Z-d61p,False,False,False,5242140,0,0
62.80646961805555,62.145290949074074,ge_14d,ge_14d,6479396,False,0.6611786689802452,20260727T130712Z-d61p,,Erickpi,322.0,322.0,0.0,False,11.7,11.7,False,False,0.0,20260728T050038Z-d61p,False,False,False,5242140,0,0
62.893667488425926,62.80646961805555,ge_14d,ge_14d,6479396,False,0.0871978703720702,20260728T050038Z-d61p,,Erickpi,322.0,322.0,0.0,False,11.7,11.7,False,False,0.0,20260728T050038Z-d61p-wide21to50,False,False,False,5242140,0,0
63.061836898148144,62.893667488425926,ge_14d,ge_14d,6479396,False,0.16816940972098599,20260728T050038Z-d61p-wide21to50,,Erickpi,322.0,322.0,0.0,False,11.7,11.7,False,False,0.0,20260728T110709Z-d61p-wide,False,False,False,5242140,0,0
63.69589228009259,63.061836898148144,ge_14d,ge_14d,6479396,False,0.6340553819443341,20260728T110709Z-d61p-wide,,Erickpi,322.0,322.0,0.0,False,11.7,11.7,False,False,0.0,20260729T021701Z-d61p-wide,False,False,False,5242140,0,0
64.69543732638888,63.69589228009259,ge_14d,ge_14d,6479396,False,0.9995450462980403,20260729T021701Z-d61p-wide,,Erickpi,322.0,322.0,0.0,False,11.7,11.7,False,False,0.0,20260730T021701Z-d61p-wide,False,False,False,5242140,0,0
62.14528923611111,56.05448837962963,ge_14d,ge_14d,6479397,False,6.090800856481548,20260721T105508Z-d61p,,nicknamealreadytakentwice,283.0,286.0,-3.0,True,12.24,12.24,False,False,0.0,20260727T130712Z-d61p,False,False,False,5114198,0,0
62.80646790509259,62.14528923611111,ge_14d,ge_14d,6479397,False,0.6611786689802452,20260727T130712Z-d61p,,nicknamealreadytakentwice,284.0,283.0,1.0,True,12.24,12.24,False,False,0.0,20260728T050038Z-d61p,False,False,False,5114198,0,0
62.89366577546296,62.80646790509259,ge_14d,ge_14d,6479397,False,0.0871978703720702,20260728T050038Z-d61p,,nicknamealreadytakentwice,284.0,284.0,0.0,False,12.24,12.24,False,False,0.0,20260728T050038Z-d61p-wide21to50,False,False,False,5114198,0,0
63.06183518518518,62.89366577546296,ge_14d,ge_14d,6479397,False,0.16816940972098599,20260728T050038Z-d61p-wide21to50,,nicknamealreadytakentwice,284.0,284.0,0.0,False,12.24,12.24,False,False,0.0,20260728T110709Z-d61p-wide,False,False,False,5114198,0,0
63.69589056712963,63.06183518518518,ge_14d,ge_14d,6479397,False,0.6340553819443341,20260728T110709Z-d61p-wide,,nicknamealreadytakentwice,284.0,284.0,0.0,False,12.24,12.24,False,False,0.0,20260729T021701Z-d61p-wide,False,False,False,5114198,0,0
64.69543561342593,63.69589056712963,ge_14d,ge_14d,6479397,False,0.9995450462980403,20260729T021701Z-d61p-wide,,nicknamealreadytakentwice,284.0,284.0,0.0,False,12.24,12.24,False,False,0.0,20260730T021701Z-d61p-wide,False,False,False,5114198,0,0
62.145284386574076,56.0544835300926,ge_14d,ge_14d,6479399,False,6.090800856481548,20260721T105508Z-d61p,,WeiCao,131.0,118.0,13.0,False,17.49,17.99,True,False,-0.5,20260727T130712Z-d61p,True,False,False,6334609,0,0
62.806463055555554,62.145284386574076,ge_14d,ge_14d,6479399,False,0.6611786689802452,20260727T130712Z-d61p,,WeiCao,135.0,131.0,4.0,False,17.73,17.49,True,False,0.240000000000002,20260728T050038Z-d61p,True,False,False,6334609,0,0
62.89366092592592,62.806463055555554,ge_14d,ge_14d,6479399,False,0.0871978703720702,20260728T050038Z-d61p,,WeiCao,135.0,135.0,0.0,False,17.73,17.73,False,False,0.0,20260728T050038Z-d61p-wide21to50,False,False,False,6334609,0,0
63.061830335648146,62.89366092592592,ge_14d,ge_14d,6479399,False,0.16816940972098599,20260728T050038Z-d61p-wide21to50,,WeiCao,130.0,135.0,-5.0,False,18.17,17.73,True,False,0.4400000000000013,20260728T110709Z-d61p-wide,True,False,False,6334609,0,0
63.69588571759259,63.061830335648146,ge_14d,ge_14d,6479399,False,0.6340553819443341,20260728T110709Z-d61p-wide,,WeiCao,130.0,130.0,0.0,False,18.22,18.17,True,False,0.04999999999999716,20260729T021701Z-d61p-wide,True,False,False,6334609,0,0
64.6954307638889,63.69588571759259,ge_14d,ge_14d,6479399,False,0.9995450462980403,20260729T021701Z-d61p-wide,,WeiCao,119.0,130.0,-11.0,False,18.44,18.22,True,False,0.22000000000000242,20260730T021701Z-d61p-wide,True,False,False,6334609,0,0
62.14527511574074,56.054474259259266,ge_14d,ge_14d,6479401,False,6.090800856481548,20260721T105508Z-d61p,,metwesse,300.0,303.0,-3.0,True,12.01,12.01,False,False,0.0,20260727T130712Z-d61p,False,False,False,1075260,0,0
62.80645378472222,62.14527511574074,ge_14d,ge_14d,6479401,False,0.6611786689802452,20260727T130712Z-d61p,,metwesse,300.0,300.0,0.0,False,12.01,12.01,False,False,0.0,20260728T050038Z-d61p,False,False,False,1075260,0,0
62.89365165509259,62.80645378472222,ge_14d,ge_14d,6479401,False,0.0871978703720702,20260728T050038Z-d61p,,metwesse,300.0,300.0,0.0,False,12.01,12.01,False,False,0.0,20260728T050038Z-d61p-wide21to50,False,False,False,1075260,0,0
63.061821064814815,62.89365165509259,ge_14d,ge_14d,6479401,False,0.16816940972098599,20260728T050038Z-d61p-wide21to50,,metwesse,300.0,300.0,0.0,False,12.01,12.01,False,False,0.0,20260728T110709Z-d61p-wide,False,False,False,1075260,0,0
63.69587644675926,63.061821064814815,ge_14d,ge_14d,6479401,False,0.6340553819443341,20260728T110709Z-d61p-wide,,metwesse,300.0,300.0,0.0,False,12.01,12.01,False,False,0.0,20260729T021701Z-d61p-wide,False,False,False,1075260,0,0
64.69542149305556,63.69587644675926,ge_14d,ge_14d,6479401,False,0.9995450462980403,20260729T021701Z-d61p-wide,,metwesse,300.0,300.0,0.0,False,12.01,12.01,False,False,0.0,20260730T021701Z-d61p-wide,False,False,False,1075260,0,0
62.14526855324074,56.054467696759254,ge_14d,ge_14d,6479402,False,6.090800856481548,20260721T105508Z-d61p,,Rouuux,71.0,71.0,0.0,False,16.39,16.29,True,False,0.10000000000000142,20260727T130712Z-d61p,True,False,False,6595390,0,0
62.806447222222225,62.14526855324074,ge_14d,ge_14d,6479402,False,0.6611786689802452,20260727T130712Z-d61p,,Rouuux,71.0,71.0,0.0,False,16.39,16.39,False,False,0.0,20260728T050038Z-d61p,False,False,False,6595390,0,0
